lsoa11cd,apgroup_num,apgroup_name
E01013633,10839,E01013633
E01015636,10840,E01015636
E01000762,10841,E01000762
E01007372,10842,E01007372
E01023778,10843,E01023778
E01026544,10844,E01026544
E01017185,10845,E01017185
E01003584,10846,E01003584
E01011656,10847,E01011656
E01016278,10848,E01016278
E01004715,10849,E01004715
E01003815,10850,E01003815
E01025318,10851,E01025318
E01014845,10852,E01014845
E01002234,10853,E01002234
E01015157,10854,E01015157
E01009563,10855,E01009563
E01023680,10856,E01023680
E01016272,10857,E01016272
E01008778,10858,E01008778
E01026789,10859,E01026789
E01025314,10860,E01025314
E01028834,10861,E01028834
E01012237,10862,E01012237
E01029185,10863,E01029185
E01015587,10864,E01015587
E01029669,10865,E01029669
W01001757,10866,W01001757
E01008777,10867,E01008777
E01024004,10868,E01024004
E01016063,10869,E01016063
E01018066,10870,E01018066
E01011512,10871,E01011512
E01024084,10872,E01024084
E01003571,10873,E01003571
E01024005,10874,E01024005
E01019528,10875,E01019528
E01016060,10876,E01016060
E01011593,10877,E01011593
E01018067,10878,E01018067
E01003570,10879,E01003570
E01024002,10880,E01024002
E01005577,10881,E01005577
E01024083,10882,E01024083
E01011594,10883,E01011594
E01016061,10884,E01016061
E01011515,10885,E01011515
E01028704,10886,E01028704
E01021328,10887,E01021328
E01032849,10888,E01032849
E01022232,10889,E01022232
E01011167,10890,E01011167
E01011557,10891,E01011557
E01005574,10892,E01005574
E01033682,10893,E01033682
E01025809,10894,E01025809
E01019529,10895,E01019529
E01028276,10896,E01028276
E01011855,10897,E01011855
E01012796,10898,E01012796
E01011854,10899,E01011854
E01025888,10900,E01025888
E01025889,10901,E01025889
E01025808,10902,E01025808
E01018980,10903,E01018980
E01011856,10904,E01011856
E01029432,10905,E01029432
E01002956,10906,E01002956
E01011857,10907,E01011857
E01018901,10908,E01018901
E01000969,10909,E01000969
E01029435,10910,E01029435
E01018900,10911,E01018900
E01018981,10912,E01018981
E01022746,10913,E01022746
E01019868,10914,E01019868
E01002957,10915,E01002957
E01029433,10916,E01029433
E01008187,10917,E01008187
E01006181,10918,E01006181
E01006103,10919,E01006103
E01006182,10920,E01006182
E01006102,10921,E01006102
E01006183,10922,E01006183
E01006184,10923,E01006184
E01006105,10924,E01006105
E01006100,10925,E01006100
E01008186,10926,E01008186
E01005704,10927,E01005704
E01005784,10928,E01005784
E01003701,10929,E01003701
E01005785,10930,E01005785
E01005707,10931,E01005707
E01003780,10932,E01003780
E01003781,10933,E01003781
E01005786,10934,E01005786
E01022707,10935,E01022707
E01019829,10936,E01019829
E01020759,10937,E01020759
E01005705,10938,E01005705
E01022786,10939,E01022786
E01005783,10940,E01005783
E01003871,10941,E01003871
E01005874,10942,E01005874
E01011812,10943,E01011812
E01011893,10944,E01011893
E01011892,10945,E01011892
E01011813,10946,E01011813
E01020845,10947,E01020845
E01031776,10948,E01031776
E01020847,10949,E01020847
E01020844,10950,E01020844
E01032839,10951,E01032839
E01020846,10952,E01020846
E01014476,10953,E01014476
E01032831,10954,E01032831
E01020415,10955,E01020415
E01032838,10956,E01032838
E01020414,10957,E01020414
E01012473,10958,E01012473
E01012472,10959,E01012472
E01020495,10960,E01020495
E01020496,10961,E01020496
E01020417,10962,E01020417
E01020842,10963,E01020842
E01031777,10964,E01031777
E01020494,10965,E01020494
E01012470,10966,E01012470
E01027999,10967,E01027999
W01000368,10968,W01000368
E01011572,10969,E01011572
E01003627,10970,E01003627
E01016433,10971,E01016433
W01001900,10972,W01001900
E01011481,10973,E01011481
E01002110,10974,E01002110
E01030471,10975,E01030471
E01030484,10976,E01030484
W01000151,10977,W01000151
E01021572,10978,E01021572
E01017615,10979,E01017615
E01003903,10980,E01003903
E01031384,10981,E01031384
E01003465,10982,E01003465
E01000126,10983,E01000126
E01031937,10984,E01031937
E01027915,10985,E01027915
E01032402,10986,E01032402
E01013484,10987,E01013484
E01021911,10988,E01021911
E01015970,10989,E01015970
E01026467,10990,E01026467
E01021990,10991,E01021990
E01032484,10992,E01032484
E01032405,10993,E01032405
E01004912,10994,E01004912
E01004993,10995,E01004993
E01004751,10996,E01004751
E01003311,10997,E01003311
E01013773,10998,E01013773
E01006544,10999,E01006544
E01026464,11000,E01026464
E01009187,11001,E01009187
E01015971,11002,E01015971
W01000653,11003,W01000653
E01033463,11004,E01033463
E01021594,11005,E01021594
E01001656,11006,E01001656
E01013573,11007,E01013573
E01000226,11008,E01000226
E01015576,11009,E01015576
E01026625,11010,E01026625
E01021595,11011,E01021595
E01021514,11012,E01021514
E01013572,11013,E01013572
W01000652,11014,W01000652
E01021515,11015,E01021515
E01013570,11016,E01013570
E01000768,11017,E01000768
E01001325,11018,E01001325
E01002847,11019,E01002847
E01016542,11020,E01016542
E01005156,11021,E01005156
E01032979,11022,E01032979
E01013601,11023,E01013601
E01012211,11024,E01012211
E01030615,11025,E01030615
E01005811,11026,E01005811
E01015314,11027,E01015314
E01016834,11028,E01016834
E01028542,11029,E01028542
E01019106,11030,E01019106
E01005507,11031,E01005507
E01019669,11032,E01019669
E01010222,11033,E01010222
E01002799,11034,E01002799
E01022771,11035,E01022771
E01024774,11036,E01024774
E01030715,11037,E01030715
E01030794,11038,E01030794
E01022770,11039,E01022770
E01024777,11040,E01024777
E01030714,11041,E01030714
E01030795,11042,E01030795
E01030712,11043,E01030712
E01030793,11044,E01030793
E01016104,11045,E01016104
E01016185,11046,E01016185
E01016186,11047,E01016186
E01000162,11048,E01000162
E01014159,11049,E01014159
E01016107,11050,E01016107
E01016106,11051,E01016106
E01000165,11052,E01000165
E01026634,11053,E01026634
E01026635,11054,E01026635
E01024649,11055,E01024649
E01000163,11056,E01000163
E01026637,11057,E01026637
E01016105,11058,E01016105
E01024648,11059,E01024648
E01026636,11060,E01026636
E01029736,11061,E01029736
E01022648,11062,E01022648
E01018883,11063,E01018883
E01022649,11064,E01022649
E01018805,11065,E01018805
E01027733,11066,E01027733
E01027732,11067,E01027732
E01018884,11068,E01018884
E01018885,11069,E01018885
E01018804,11070,E01018804
E01026632,11071,E01026632
E01026633,11072,E01026633
E01027730,11073,E01027730
E01029737,11074,E01029737
E01028764,11075,E01028764
E01028765,11076,E01028765
E01013879,11077,E01013879
E01026761,11078,E01026761
E01026760,11079,E01026760
E01028767,11080,E01028767
E01028766,11081,E01028766
E01013878,11082,E01013878
E01021899,11083,E01021899
E01021818,11084,E01021818
E01020483,11085,E01020483
E01029129,11086,E01029129
E01019516,11087,E01019516
W01001311,11088,W01001311
E01025869,11089,E01025869
E01003362,11090,E01003362
E01031769,11091,E01031769
E01020017,11092,E01020017
E01026497,11093,E01026497
E01020487,11094,E01020487
W01000256,11095,W01000256
E01015520,11096,E01015520
W01001172,11097,W01001172
E01031804,11098,E01031804
E01021389,11099,E01021389
E01032827,11100,E01032827
E01030099,11101,E01030099
E01024426,11102,E01024426
E01003954,11103,E01003954
E01017909,11104,E01017909
E01017908,11105,E01017908
E01017989,11106,E01017989
E01001976,11107,E01001976
E01003956,11108,E01003956
E01031111,11109,E01031111
E01003957,11110,E01003957
E01011530,11111,E01011530
E01013524,11112,E01013524
E01019901,11113,E01019901
E01011531,11114,E01011531
E01007691,11115,E01007691
E01001969,11116,E01001969
E01011533,11117,E01011533
E01004449,11118,E01004449
E01019549,11119,E01019549
E01011532,11120,E01011532
W01000442,11121,W01000442
E01001407,11122,E01001407
E01019548,11123,E01019548
E01011534,11124,E01011534
E01022075,11125,E01022075
E01019944,11126,E01019944
E01011535,11127,E01011535
E01017988,11128,E01017988
E01014999,11129,E01014999
E01003955,11130,E01003955
E01014918,11131,E01014918
E01023489,11132,E01023489
E01000927,11133,E01000927
E01011538,11134,E01011538
E01019461,11135,E01019461
E01007546,11136,E01007546
E01023408,11137,E01023408
E01027926,11138,E01027926
E01006979,11139,E01006979
E01027927,11140,E01027927
E01000926,11141,E01000926
E01025978,11142,E01025978
E01025979,11143,E01025979
E01031998,11144,E01031998
E01031919,11145,E01031919
E01031918,11146,E01031918
E01031999,11147,E01031999
E01023409,11148,E01023409
E01023488,11149,E01023488
E01027924,11150,E01027924
E01027925,11151,E01027925
E01024684,11152,E01024684
E01021294,11153,E01021294
E01009720,11154,E01009720
E01011957,11155,E01011957
E01023089,11156,E01023089
E01027455,11157,E01027455
E01032118,11158,E01032118
E01012573,11159,E01012573
E01000697,11160,E01000697
E01020659,11161,E01020659
E01027221,11162,E01027221
E01019729,11163,E01019729
E01023980,11164,E01023980
E01023081,11165,E01023081
E01025460,11166,E01025460
E01030129,11167,E01030129
E01024579,11168,E01024579
E01004675,11169,E01004675
E01023705,11170,E01023705
E01017767,11171,E01017767
E01008876,11172,E01008876
E01023784,11173,E01023784
E01012811,11174,E01012811
E01006873,11175,E01006873
E01017766,11176,E01017766
E01014896,11177,E01014896
E01026663,11178,E01026663
E01023279,11179,E01023279
E01003776,11180,E01003776
E01032443,11181,E01032443
E01021056,11182,E01021056
E01020992,11183,E01020992
W01001003,11184,W01001003
E01022572,11185,E01022572
E01014895,11186,E01014895
E01031842,11187,E01031842
E01018623,11188,E01018623
E01006870,11189,E01006870
E01031843,11190,E01031843
E01031844,11191,E01031844
E01031845,11192,E01031845
E01031846,11193,E01031846
E01031847,11194,E01031847
E01004419,11195,E01004419
E01004498,11196,E01004498
E01027426,11197,E01027426
E01008788,11198,E01008788
E01016933,11199,E01016933
E01023273,11200,E01023273
E01016932,11201,E01016932
E01031840,11202,E01031840
E01015778,11203,E01015778
E01025479,11204,E01025479
E01031841,11205,E01031841
E01027965,11206,E01027965
E01016935,11207,E01016935
E01033085,11208,E01033085
E01025478,11209,E01025478
E01026929,11210,E01026929
E01006570,11211,E01006570
E01031498,11212,E01031498
E01005600,11213,E01005600
E01008577,11214,E01008577
E01031419,11215,E01031419
E01004212,11216,E01004212
E01014515,11217,E01014515
E01014675,11218,E01014675
E01014594,11219,E01014594
E01006573,11220,E01006573
E01008576,11221,E01008576
E01014514,11222,E01014514
E01014595,11223,E01014595
E01018936,11224,E01018936
E01027427,11225,E01027427
E01007889,11226,E01007889
E01007809,11227,E01007809
E01009880,11228,E01009880
E01007808,11229,E01007808
E01010731,11230,E01010731
E01014593,11231,E01014593
E01009801,11232,E01009801
E01012851,11233,E01012851
E01014512,11234,E01014512
E01009881,11235,E01009881
E01014854,11236,E01014854
E01009800,11237,E01009800
E01014857,11238,E01014857
E01023744,11239,E01023744
E01023747,11240,E01023747
E01012850,11241,E01012850
E01023746,11242,E01023746
E01014856,11243,E01014856
E01007888,11244,E01007888
E01010738,11245,E01010738
E01028889,11246,E01028889
E01028808,11247,E01028808
E01019277,11248,E01019277
E01025212,11249,E01025212
E01025294,11250,E01025294
E01017270,11251,E01017270
E01019276,11252,E01019276
E01004466,11253,E01004466
E01025215,11254,E01025215
E01001116,11255,E01001116
E01025295,11256,E01025295
E01011190,11257,E01011190
E01003238,11258,E01003238
E01009514,11259,E01009514
E01003239,11260,E01003239
E01010142,11261,E01010142
E01021889,11262,E01021889
E01013958,11263,E01013958
E01026440,11264,E01026440
E01001388,11265,E01001388
E01012826,11266,E01012826
E01002077,11267,E01002077
E01028419,11268,E01028419
E01031533,11269,E01031533
E01031530,11270,E01031530
E01005927,11271,E01005927
E01003174,11272,E01003174
E01019598,11273,E01019598
W01001275,11274,W01001275
E01021805,11275,E01021805
E01007351,11276,E01007351
E01026894,11277,E01026894
W01001502,11278,W01001502
E01028410,11279,E01028410
E01029632,11280,E01029632
E01029633,11281,E01029633
E01029634,11282,E01029634
E01029635,11283,E01029635
E01029637,11284,E01029637
E01027631,11285,E01027631
E01029636,11286,E01029636
E01027630,11287,E01027630
E01008669,11288,E01008669
E01029630,11289,E01029630
E01009223,11290,E01009223
E01029631,11291,E01029631
E01029694,11292,E01029694
E01028432,11293,E01028432
E01003003,11294,E01003003
E01021489,11295,E01021489
E01012195,11296,E01012195
E01004573,11297,E01004573
E01029762,11298,E01029762
E01025133,11299,E01025133
E01016878,11300,E01016878
E01022898,11301,E01022898
E01022819,11302,E01022819
E01016482,11303,E01016482
E01007745,11304,E01007745
E01007746,11305,E01007746
E01007747,11306,E01007747
E01011738,11307,E01011738
E01011739,11308,E01011739
E01000888,11309,E01000888
E01000809,11310,E01000809
E01004461,11311,E01004461
E01021074,11312,E01021074
E01031429,11313,E01031429
E01026040,11314,E01026040
E01011801,11315,E01011801
E01027806,11316,E01027806
E01027285,11317,E01027285
E01027787,11318,E01027787
E01027887,11319,E01027887
E01000092,11320,E01000092
E01011865,11321,E01011865
E01007742,11322,E01007742
E01018418,11323,E01018418
E01025859,11324,E01025859
E01007743,11325,E01007743
E01011864,11326,E01011864
E01025858,11327,E01025858
E01010980,11328,E01010980
E01011866,11329,E01011866
E01004963,11330,E01004963
E01011867,11331,E01011867
E01021434,11332,E01021434
E01010901,11333,E01010901
E01010981,11334,E01010981
E01004962,11335,E01004962
E01021437,11336,E01021437
E01010900,11337,E01010900
E01011862,11338,E01011862
E01027807,11339,E01027807
E01021435,11340,E01021435
E01029448,11341,E01029448
E01001921,11342,E01001921
E01012455,11343,E01012455
E01026488,11344,E01026488
E01026409,11345,E01026409
E01001920,11346,E01001920
E01012454,11347,E01012454
E01026489,11348,E01026489
E01026408,11349,E01026408
E01012452,11350,E01012452
E01012453,11351,E01012453
E01030546,11352,E01030546
E01028931,11353,E01028931
E01012946,11354,E01012946
E01028933,11355,E01028933
E01028930,11356,E01028930
E01028935,11357,E01028935
E01028932,11358,E01028932
E01018577,11359,E01018577
E01026931,11360,E01026931
E01012686,11361,E01012686
E01024512,11362,E01024512
E01019224,11363,E01019224
E01028934,11364,E01028934
E01024594,11365,E01024594
E01033623,11366,E01033623
E01016570,11367,E01016570
E01007967,11368,E01007967
E01018576,11369,E01018576
E01013000,11370,E01013000
E01024515,11371,E01024515
E01004977,11372,E01004977
E01024595,11373,E01024595
E01024197,11374,E01024197
E01016573,11375,E01016573
E01014579,11376,E01014579
E01012947,11377,E01012947
W01000119,11378,W01000119
E01026938,11379,E01026938
E01024593,11380,E01024593
E01016571,11381,E01016571
E01024681,11382,E01024681
W01000751,11383,W01000751
E01001794,11384,E01001794
E01011953,11385,E01011953
E01011055,11386,E01011055
E01027451,11387,E01027451
E01020125,11388,E01020125
E01014574,11389,E01014574
E01008629,11390,E01008629
E01020921,11391,E01020921
E01031452,11392,E01031452
E01020920,11393,E01020920
E01031455,11394,E01031455
E01020923,11395,E01020923
E01031454,11396,E01031454
E01022551,11397,E01022551
E01031457,11398,E01031457
E01024554,11399,E01024554
E01028979,11400,E01028979
E01015944,11401,E01015944
E01032416,11402,E01032416
E01030429,11403,E01030429
E01013941,11404,E01013941
E01013940,11405,E01013940
E01015947,11406,E01015947
E01015946,11407,E01015946
E01030428,11408,E01030428
E01025810,11409,E01025810
E01003024,11410,E01003024
E01025419,11411,E01025419
